brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,status,borough,bed_bath_ratio,price
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.493753839851686,New York,40.6077014,-73.958782,Pending,Brooklyn,0.6931471805599453,12.676076274775909
other,Multi-family home for sale,1.791759469228055,1.3862943611198906,7.450660796211539,United States,40.6408696,-73.9139282,Pending,Brooklyn,0.9808292530117262,13.670485941982712
other,Land for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,New York,40.618915,-73.931211,Pending,Brooklyn,0.9162907318741551,8.665785595466064
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.3473892096560105,New York,40.6343667,-74.0311335,Pending,Brooklyn,0.6931471805599453,12.464587201678082
Brokered by COMPASS,Townhouse for sale,2.0794415416798357,1.791759469228055,8.757940876678804,United States,40.6884736,-73.9747288,Pending,Brooklyn,0.8754687373538999,15.573368647930426
other,Condo for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,United States,40.6797517,-73.8624978,Pending,Queens,1.0986122886681098,12.762830066509972
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.7464121285733745,New York,40.8366623,-73.9239586,Pending,Bronx,0.6931471805599453,11.502885230075814
other,Co-op for sale,1.0986122886681098,1.0986122886681098,7.6894662343551055,New York,40.7812136,-73.9570373,Pending,Manhattan,0.6931471805599453,14.19394767861579
other,Condo for sale,1.0986122886681098,1.0986122886681098,7.1929342212158,New York,40.745483,-73.954465,Pending,Queens,0.6931471805599453,14.23750562376114
other,Condo for sale,0.6931471805599453,1.0986122886681098,7.6894662343551055,United States,40.7478785,-73.9444755,Pending,Queens,0.4054651081081644,13.40060250526076
other,Multi-family home for sale,1.9459101490553132,2.8903717578961645,9.45203086057697,United States,40.8569296,-73.9016966,Pending,Bronx,0.3022808718729336,15.249404136262438
other,Co-op for sale,1.3862943611198906,1.0986122886681098,7.00397413672268,New York,40.8344217,-73.914718,Pending,Bronx,0.9162907318741551,12.201065128819632
other,House for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.6765364,-73.8351774,Pending,Queens,0.9162907318741551,13.345508528717259
other,Co-op for sale,1.0986122886681098,0.6931471805599453,7.6894662343551055,New York,40.6397364,-74.0186847,Pending,Brooklyn,1.0986122886681098,12.765691290604371
other,Multi-family home for sale,1.9459101490553132,1.791759469228055,7.6894662343551055,United States,40.7308373,-73.8599677,Pending,Queens,0.7884573603642702,14.556972075219997
other,Multi-family home for sale,1.9459101490553132,1.6094379124341003,7.6894662343551055,United States,40.7118837,-73.742941,Pending,Queens,0.9162907318741551,13.815501557923774
Brokered by Corcoran East Side,Condo for sale,1.6094379124341003,1.6094379124341003,7.9599745280805365,New York,40.7794854,-73.9561419,Pending,Manhattan,0.6931471805599453,15.958513698435901
other,Co-op for sale,1.0986122886681098,0.6931471805599453,6.7464121285733745,New York,40.6343667,-74.0311335,Pending,Brooklyn,1.0986122886681098,12.969214528909768
other,Condo for sale,1.0986122886681098,0.6931471805599453,7.167809184316444,United States,40.5527755,-74.1539297,Pending,Staten Island,1.0986122886681098,13.07107218827772
other,Co-op for sale,1.3862943611198906,0.6931471805599453,7.00397413672268,New York,40.622324,-73.9695073,Pending,Brooklyn,1.3862943611198906,12.278397958261774
Brokered by COMPASS,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,New York,40.77435,-73.955879,Pending,Manhattan,0.6931471805599453,13.303018546545275
other,House for sale,1.791759469228055,1.0986122886681098,7.534228326274089,United States,40.6329148,-74.1328734,Pending,Staten Island,1.252762968495368,13.551546314212295
