brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
other,House for sale,3,2,2184.207862,United States,40.681047,-73.754428,450000,Pending,Queens,1.5
other,Co-op for sale,3,1,250.0,New York,40.7488879,-73.9723947,339000,Pending,Manhattan,3.0
other,Co-op for sale,2,1,2184.207862,New York,40.798761,-73.9721556,650000,Pending,Manhattan,2.0
other,House for sale,3,2,2000.0,United States,40.6995553,-73.7527095,649000,Pending,Queens,1.5
other,Multi-family home for sale,3,4,2016.0,United States,40.6351047,-74.0818972,999888,Pending,Staten Island,0.75
other,House for sale,3,2,2049.0,United States,40.6520971,-73.9451094,1250000,Pending,Brooklyn,1.5
other,Co-op for sale,4,3,2880.0,United States,40.7897224,-73.8045254,1688000,Pending,Queens,1.3333333333333333
Brokered by COMPASS,Condo for sale,2,2,1050.0,New York,40.7629277,-73.9813818,1225000,Pending,Manhattan,1.0
other,Condo for sale,2,2,1025.0,United States,40.7669131,-73.9342893,950000,Pending,Queens,1.0
other,Multi-family home for sale,3,2,2184.207862,United States,40.7554032,-73.7924388,1290000,Pending,Queens,1.5
Brokered by Douglas Elliman - 575 Madison Ave,Townhouse for sale,5,6,8725.0,United States,40.7669348,-73.9701575,22500000,Pending,Manhattan,0.8333333333333334
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,5,2,1750.0,United States,40.5956263,-73.933927,799900,Pending,Brooklyn,2.5
other,Multi-family home for sale,8,5,2184.207862,United States,40.8167119,-73.8127515,1080000,Pending,Bronx,1.6
other,House for sale,4,2,1580.0,United States,40.6198659,-74.0087151,1188000,Pending,Brooklyn,2.0
Brokered by COMPASS,Condo for sale,4,4,5000.0,New York,40.7229769,-74.0093524,28000000,Pending,Manhattan,1.0
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,3,2,1700.0,New York,40.7640501,-73.964336,925000,Pending,Manhattan,1.5
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,3,1,2184.207862,New York,40.7382981,-74.0058899,895000,Pending,Manhattan,3.0
Brokered by Corcoran Park Avenue South,Condo for sale,3,2,1708.0,New York,40.7629604,-73.9705452,2195000,Pending,Manhattan,1.5
other,House for sale,2,2,1144.0,United States,40.6314389,-74.0378384,1175000,Pending,Brooklyn,1.0
other,Co-op for sale,1,1,660.0,New York,40.6077014,-73.958782,319999,Pending,Brooklyn,1.0
other,Multi-family home for sale,5,3,1720.0,United States,40.6408696,-73.9139282,865000,Pending,Brooklyn,1.6666666666666667
other,Land for sale,3,2,2184.207862,New York,40.618915,-73.931211,5800,Pending,Brooklyn,1.5
other,Co-op for sale,1,1,570.0,New York,40.6343667,-74.0311335,259000,Pending,Brooklyn,1.0
Brokered by COMPASS,Townhouse for sale,7,5,6360.0,United States,40.6884736,-73.9747288,5800000,Pending,Brooklyn,1.4
other,Condo for sale,2,1,2184.207862,United States,40.6797517,-73.8624978,349000,Pending,Queens,2.0
other,Co-op for sale,1,1,850.0,New York,40.8366623,-73.9239586,99000,Pending,Bronx,1.0
other,Co-op for sale,2,2,2184.207862,New York,40.7812136,-73.9570373,1460000,Pending,Manhattan,1.0
other,Condo for sale,2,2,1329.0,New York,40.745483,-73.954465,1525000,Pending,Queens,1.0
other,Condo for sale,1,2,2184.207862,United States,40.7478785,-73.9444755,660400,Pending,Queens,0.5
other,Multi-family home for sale,6,17,12733.0,United States,40.8569296,-73.9016966,4195000,Pending,Bronx,0.35294117647058826
other,Co-op for sale,3,2,1100.0,New York,40.8344217,-73.914718,199000,Pending,Bronx,1.5
other,House for sale,3,2,2184.207862,United States,40.6765364,-73.8351774,625000,Pending,Queens,1.5
other,Co-op for sale,2,1,2184.207862,New York,40.6397364,-74.0186847,350000,Pending,Brooklyn,2.0
other,Multi-family home for sale,6,5,2184.207862,United States,40.7308373,-73.8599677,2099000,Pending,Queens,1.2
other,Multi-family home for sale,6,4,2184.207862,United States,40.7118837,-73.742941,999990,Pending,Queens,1.5
Brokered by Corcoran East Side,Condo for sale,4,4,2863.0,New York,40.7794854,-73.9561419,8525000,Pending,Manhattan,1.0
other,Co-op for sale,2,1,850.0,New York,40.6343667,-74.0311335,429000,Pending,Brooklyn,2.0
other,Condo for sale,2,1,1296.0,United States,40.5527755,-74.1539297,475000,Pending,Staten Island,2.0
other,Co-op for sale,3,1,1100.0,New York,40.622324,-73.9695073,215000,Pending,Brooklyn,3.0
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.77435,-73.955879,599000,Pending,Manhattan,1.0
other,House for sale,5,2,1870.0,United States,40.6329148,-74.1328734,768000,Pending,Staten Island,2.5
Brokered by Corcoran East Side,Co-op for sale,4,4,2184.207862,New York,40.7816743,-73.9600313,6995000,Pending,Manhattan,1.0
other,House for sale,2,2,1260.0,United States,40.6131085,-74.1603745,748888,Pending,Staten Island,1.0
NoBroker,Co-op for sale,2,2,1200.0,New York,40.5866451,-73.949452,515000,Pending,Brooklyn,1.0
other,House for sale,3,2,1782.0,United States,40.8411589,-73.8265147,549990,Pending,Bronx,1.5
Brokered by Serhant,Condo for sale,1,2,1117.0,New York,40.7408927,-74.0044465,1950000,Pending,Manhattan,0.5
other,Multi-family home for sale,6,3,2100.0,United States,40.5586967,-74.1351001,898000,Pending,Staten Island,2.0
other,Condo for sale,3,4,2456.0,New York County,40.7781672,-73.9489094,3995000,Pending,Manhattan,0.75
other,Co-op for sale,2,2,1200.0,New York,40.7812626,-73.7745671,449000,Pending,Queens,1.0
other,Townhouse for sale,5,2,2184.207862,United States,40.6678086,-73.8739629,795000,Pending,Brooklyn,2.5
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,4,2,7825.0,United States,40.7780321,-73.9574506,12495000,Pending,Manhattan,2.0
other,House for sale,3,2,1816.0,United States,40.5557686,-74.1327357,799000,Pending,Staten Island,1.5
other,House for sale,3,4,2380.0,United States,40.5393625,-74.214287,1275000,Pending,Staten Island,0.75
other,Co-op for sale,4,4,1798.0,United States,40.6032357,-74.0737747,999000,Contingent,Staten Island,1.0
other,House for sale,4,2,2188.0,United States,40.6445045,-74.0818972,779000,Pending,Staten Island,2.0
other,Multi-family home for sale,15,7,6000.0,United States,40.5977433,-73.9578638,2850000,Pending,Brooklyn,2.142857142857143
Brokered by Winzone Realty Inc,House for sale,3,4,3150.0,United States,40.5805262,-74.0061062,1880000,Pending,Brooklyn,0.75
other,Co-op for sale,3,1,2184.207862,New York,40.76907,-73.987788,299000,Pending,Manhattan,3.0
other,Co-op for sale,1,1,2184.207862,New York,40.726843,-73.85458,319000,Pending,Queens,1.0
Brokered by COMPASS,Condo for sale,1,1,2184.207862,New York,40.8162042,-73.9383242,698000,Pending,Manhattan,1.0
other,House for sale,4,2,2050.0,United States,40.7114417,-73.8490778,1474000,Pending,Queens,2.0
Brokered by RE MAX Edge,Condo for sale,3,2,2184.207862,New York,40.6261372,-74.1267716,540000,Pending,Staten Island,1.5
other,Multi-family home for sale,6,4,3850.0,United States,40.9110703,-73.9017893,1999000,Pending,Bronx,1.5
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,3,3,1368.0,United States,40.7088867,-73.7844919,749000,Pending,Queens,1.0
Brokered by EXP Realty,Multi-family home for sale,4,2,2184.207862,United States,40.6768411,-73.9867935,1695000,Pending,Brooklyn,2.0
other,Co-op for sale,3,2,1550.0,United States,40.7561033,-73.7889919,1238000,Pending,Queens,1.5
other,Co-op for sale,3,3,2080.0,United States,40.5550173,-74.163012,898888,Contingent,Staten Island,1.0
other,Co-op for sale,2,2,2184.207862,New York,40.7895034,-73.9769713,1300000,Pending,Manhattan,1.0
other,Condo for sale,2,2,901.0,New York,40.7718553,-73.9799842,1499999,Pending,Manhattan,1.0
other,Co-op for sale,2,1,2184.207862,New York,40.7813792,-73.9824979,945000,Pending,Manhattan,2.0
other,Co-op for sale,3,2,1150.0,New York,40.7318958,-73.8599645,588888,Pending,Queens,1.5
other,Multi-family home for sale,3,32,11760.0,United States,40.6115483,-74.0008656,3000000,Pending,Brooklyn,0.09375
other,Co-op for sale,1,1,790.0,New York,40.5844399,-73.9316116,279999,Pending,Brooklyn,1.0
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,3,1,2184.207862,New York,40.7631466,-73.9622114,290000,Pending,Manhattan,3.0
other,Co-op for sale,1,1,2184.207862,New York,40.7522899,-73.72315,269999,Pending,Queens,1.0
other,Co-op for sale,1,1,650.0,New York,40.7291499,-73.84944,255000,Pending,Queens,1.0
other,Multi-family home for sale,11,6,2184.207862,United States,40.7424172,-73.8842849,1630000,Pending,Queens,1.8333333333333333
other,Townhouse for sale,8,8,9555.0,United States,40.7826176,-73.9820502,10950000,Pending,Manhattan,1.0
Brokered by Keller Williams Rlty Landmark,House for sale,4,4,2184.207862,United States,40.7892182,-73.7997874,1788888,Pending,Queens,1.0
other,Multi-family home for sale,3,2,1700.0,United States,40.8817944,-73.8617772,425000,Pending,Bronx,1.5
other,Co-op for sale,2,2,1400.0,New York,40.7216499,-73.84119,699000,Pending,Queens,1.0
other,Multi-family home for sale,10,8,5040.0,New York,40.6274381,-74.1581613,1300000,Pending,Staten Island,1.25
other,Co-op for sale,4,4,1816.0,United States,40.5570416,-74.1462231,799900,Contingent,Staten Island,1.0
other,Co-op for sale,2,1,900.0,New York,40.8919476,-73.8973687,340000,Pending,Bronx,2.0
other,Townhouse for sale,6,6,6000.0,United States,40.6282935,-74.0379695,8750000,Pending,Brooklyn,1.0
other,Condo for sale,1,1,864.0,New York,40.6414367,-74.0802253,239500,Pending,Staten Island,1.0
Brokered by Corcoran Park Avenue South,Co-op for sale,1,1,2184.207862,New York,40.7228235,-73.98509,438000,Pending,Manhattan,1.0
other,House for sale,5,2,3244.0,United States,40.6548876,-73.9275423,988000,Pending,Brooklyn,2.5
Brokered by RE MAX Edge,Co-op for sale,2,1,1000.0,New York,40.6393755,-74.0352909,525000,Pending,Brooklyn,2.0
Brokered by Winzone Realty Inc,Multi-family home for sale,7,2,3240.0,United States,40.6327207,-74.0236917,1880000,Pending,Brooklyn,3.5
other,Multi-family home for sale,5,2,2392.0,United States,40.8201064,-73.8877326,979000,Pending,Bronx,2.5
other,Townhouse for sale,3,2,1548.0,United States,40.5953144,-74.1628286,699998,Pending,Staten Island,1.5
other,House for sale,4,4,2184.207862,United States,40.7445255,-73.7137434,1289000,Pending,Queens,1.0
Brokered by Winzone Realty Inc,House for sale,3,2,2184.207862,United States,40.6787631,-73.8121482,735000,Pending,Queens,1.5
other,Land for sale,3,2,2184.207862,United States,40.89582,-73.9110766,450000,Pending,Bronx,1.5
